,sel,mig,idHap,piHap
175,0.048,0.003,R2,18.0
176,0.048,0.004,R0,1.0
177,0.048,0.004,R1,1.0
178,0.048,0.004,R2,18.0
179,0.048,0.005,R0,5.0
180,0.048,0.005,R1,15.0
181,0.048,0.006,R0,2.0
182,0.048,0.006,R1,1.0
183,0.048,0.006,R2,17.0
184,0.048,0.007,R0,1.0
185,0.048,0.007,R1,19.0
186,0.048,0.008,R0,0.0
187,0.048,0.008,R1,20.0
188,0.048,0.009,R0,1.0
189,0.048,0.009,R1,19.0
190,0.054,0.0,R0,20.0
191,0.054,0.001,R0,0.0
192,0.054,0.001,R1,20.0
193,0.054,0.002,R0,1.0
194,0.054,0.002,R1,4.0
195,0.054,0.002,R2,15.0
196,0.054,0.003,R0,2.0
197,0.054,0.003,R1,1.0
198,0.054,0.003,R2,1.0
199,0.054,0.003,R3,7.0
200,0.054,0.003,R4,9.0
201,0.054,0.004,R0,1.0
202,0.054,0.004,R1,19.0
203,0.054,0.005,R0,1.0
204,0.054,0.005,R1,4.0
205,0.054,0.005,R2,15.0
206,0.054,0.006,R0,1.0
207,0.054,0.006,R1,2.0
208,0.054,0.006,R2,6.0
209,0.054,0.006,R3,11.0
210,0.054,0.007,R0,1.0
211,0.054,0.007,R1,2.0
212,0.054,0.007,R2,17.0
213,0.054,0.008,R0,1.0
214,0.054,0.008,R1,5.0
215,0.054,0.008,R2,14.0
216,0.054,0.009,R0,0.0
217,0.054,0.009,R1,2.0
218,0.054,0.009,R2,18.0
